# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    1    313     42     49    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    315     41     49    100     70      0      0      0      0   1593   1410  74021  74022      0 
    1    312     42     49    100     70      0      0      0      0   1593   1410  74021  74022      0 
    0    253     41     49    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    311     42     49    100     71      0      0      0      0   1593   1410  74021  74022      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    319     41     49     97     68      0      0      0      0   1593   1410  74021  74022      0 
    1    313     42     50     97     69      0      0      0      0   1593   1410  74021  74022      0 
    0    320     41     48    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    315     43     50    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    315     41     49    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    313     43     49    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    312     41     48    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    250     42     49    100     70      0      0      0      0   1593   1410  74021  74022      0 
    0    315     41     49    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    316     43     50     97     66      0      0      0      0   1593   1410  74021  74022      0 
    0    317     41     49     97     68      0      0      0      0   1593   1410  74021  74022      0 
    1    315     43     49    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    318     41     49    100     70      0      0      0      0   1593   1410  74021  74022      0 
    1    314     43     50    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    314     41     49    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    311     42     49    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    318     41     49     96     68      0      0      0      0   1593   1410  74021  74022      0 
    1    312     43     50     96     68      0      0      0      0   1593   1410  74021  74022      0 
    0    316     41     49    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    312     43     50     96     68      0      0      0      0   1593   1410  74021  74022      0 
