# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     85     26     25      0      0      0      0      0      0   1593   1155  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    344     34     42    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    345     36     45    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    351     37     45     91     74      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    347     38     47    100     84      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    348     38     47    100     84      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
