# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     85     26     25      0      0      0      0      0      0   1593   1155  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    344     34     41    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    347     36     44     95     83      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    346     37     46    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    346     37     47    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    335     37     48    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     25      0      0      0      0      0      0   1593    210      0      1      0 
    0    337     38     49    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    335     38     49     93     82      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     39     50    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    335     39     50    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    336     39     50    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     25      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     39     51     95     84      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     25      0      0      0      0      0      0   1593    210      0      1      0 
    0    337     39     46    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     40     51    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    337     40     51    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    337     40     51    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    336     40     51    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     41     52    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    337     41     52    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     41     52    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    336     41     52     94     82      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     41     52    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    338     41     52    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     41     52    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     41     52     98     86      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     41     52    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     26     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     42     52    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     42     52    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     42     52    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     42     52     96     84      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     42     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     42     52    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     42     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     42     52     94     82      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     42     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     42     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    340     42     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     42     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     42     53     94     82      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     42     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     42     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    340     42     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     42     52     96     84      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     42     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    340     43     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    340     43     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     43     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     42     52     98     86      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     43     54    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    340     43     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     43     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     43     54     96     84      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     43     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     43     54    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     43     54    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    340     43     54     94     83      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    339     43     54    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    340     43     54    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    340     43     54    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    340     43     53     94     82      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    245     43     53    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    338     43     54    100     87      0      0      0      0   1593   1410  72795  72796      0 
    1     63     25     24      0      0      0      0      0      0   1593    210      0      1      0 
    0    340     43     54    100     87      0      0      0      0   1593   1410  72795  72796      0 
