# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     85     26     26      0      0      0      0      0      0   1593   1155  74021  74022      0 
    1     85     28     25      0      0      0      0      0      0   1593   1155  74021  74022      0 
    0    321     34     39    100     71      0      0      0      0   1593   1410  74021  74022      0 
    1    315     35     40    100     71      0      0      0      0   1593   1410  74021  74022      0 
    0    343     36     41    100     66      0      0      0      0   1593   1410  74021  74022      0 
    1    334     37     41     86     58      0      0      0      0   1593   1410  74021  74022      0 
    0    344     37     42    100     66      0      0      0      0   1593   1410  74021  74022      0 
    1    330     38     42    100     66      0      0      0      0   1593   1410  74021  74022      0 
